,name,division,rank,str.ac,grap.ac,sig.str.land,sig.str.att,take.land,take.att,sig.str.land.min,sig.str.abs.min,take.avg.15min,sub.avg.15min,sig.str.def,take.def,knock.ratio,avg.time,sig.str.head,sig.str.head.percent,sig.str.body,sig.str.body.percent,sig.str.leg,sig.str.leg.percent,sig.str.position.stand,sig.str.position.clinch,sig.str.position.ground,sig.str.position.stand.percent,sig.str.position.clinch.percent,sig.str.position.ground.percent,win.ko,win.sub,win.dec,win.ko.percent,win.sub.percent,win.dec.percent,wins,losses,age,leg.reach,reach,height,opponent,outcome,name,division,rank,str.ac,grap.ac,sig.str.land,sig.str.att,take.land,take.att,sig.str.land.min,sig.str.abs.min,take.avg.15min,sub.avg.15min,sig.str.def,take.def,knock.ratio,avg.time,sig.str.head,sig.str.head.percent,sig.str.body,sig.str.body.percent,sig.str.leg,sig.str.leg.percent,sig.str.position.stand,sig.str.position.clinch,sig.str.position.ground,sig.str.position.stand.percent,sig.str.position.clinch.percent,sig.str.position.ground.percent,win.ko,win.sub,win.dec,win.ko.percent,win.sub.percent,win.dec.percent,wins,losses,age,leg.reach,reach,height
30,cruz,bantamweight,10,[33%],[46%],990.0,3016.0,23.0,117.0,"3.65
              ","2.42
          ","2.99
              ","0.06
          ","73
                  %","84
                      %","0.06
              ","16:56
          ",662,67%,190,19%,138,14%,825,85,80,(83%),(9%),(8%),7,1,15,(30%),(4%),(65%),23,3,36.0,37.0,68.0,68.0,mizugaki,Win,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,cruz,bantamweight,10,[33%],[46%],990.0,3016.0,23.0,117.0,"3.65
              ","2.42
          ","2.99
              ","0.06
          ","73
                  %","84
                      %","0.06
              ","16:56
          ",662,67%,190,19%,138,14%,825,85,80,(83%),(9%),(8%),7,1,15,(30%),(4%),(65%),23,3,36.0,37.0,68.0,68.0,dillashaw,Win,dillashaw,bantamweight,2,[41%],[31%],1115.0,2706.0,21.0,75.0,"5.26
              ","3.27
          ","1.63
              ","0.85
          ","64
                  %","86
                      %","0.64
              ","12:28
          ",745,67%,161,14%,209,19%,812,113,190,(73%),(10%),(17%),8,3,7,(44%),(17%),(39%),18,4,35.0,38.0,67.0,66.0
32,cruz,bantamweight,10,[33%],[46%],990.0,3016.0,23.0,117.0,"3.65
              ","2.42
          ","2.99
              ","0.06
          ","73
                  %","84
                      %","0.06
              ","16:56
          ",662,67%,190,19%,138,14%,825,85,80,(83%),(9%),(8%),7,1,15,(30%),(4%),(65%),23,3,36.0,37.0,68.0,68.0,faber,Win,faber,bantamweight,0,[41%],[31%],964.0,2336.0,26.0,122.0,"2.68
              ","2.52
          ","1.59
              ","0.88
          ","65
                  %","60
                      %","0.38
              ","12:24
          ",702,73%,196,20%,66,7%,575,136,253,(60%),(14%),(26%),10,17,8,(29%),(49%),(23%),35,11,40.0,37.0,67.0,66.0
33,cruz,bantamweight,10,[33%],[46%],990.0,3016.0,23.0,117.0,"3.65
              ","2.42
          ","2.99
              ","0.06
          ","73
                  %","84
                      %","0.06
              ","16:56
          ",662,67%,190,19%,138,14%,825,85,80,(83%),(9%),(8%),7,1,15,(30%),(4%),(65%),23,3,36.0,37.0,68.0,68.0,garbrandt,,garbrandt,bantamweight,7,[37%],[33%],300.0,802.0,5.0,15.0,"3.35
              ","3.33
          ","0.84
              ","0.00
          ","65
                  %","100
                      %","1.68
              ","08:57
          ",238,79%,28,9%,34,11%,272,9,19,(91%),(3%),(6%),10,0,2,(83%),(0%),(17%),12,4,29.0,38.0,65.0,68.0
34,cruz,bantamweight,10,[33%],[46%],990.0,3016.0,23.0,117.0,"3.65
              ","2.42
          ","2.99
              ","0.06
          ","73
                  %","84
                      %","0.06
              ","16:56
          ",662,67%,190,19%,138,14%,825,85,80,(83%),(9%),(8%),7,1,15,(30%),(4%),(65%),23,3,36.0,37.0,68.0,68.0,cejudo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,cruz,bantamweight,10,[33%],[46%],990.0,3016.0,23.0,117.0,"3.65
              ","2.42
          ","2.99
              ","0.06
          ","73
                  %","84
                      %","0.06
              ","16:56
          ",662,67%,190,19%,138,14%,825,85,80,(83%),(9%),(8%),7,1,15,(30%),(4%),(65%),23,3,36.0,37.0,68.0,68.0,kenney,Win,kenney,bantamweight,1,[43%],[39%],592.0,1380.0,2.0,23.0,"4.81
              ","4.30
          ","1.10
              ","0.49
          ","59
                  %","59
                      %","0.00
              ","13:40
          ",316,53%,148,25%,128,22%,521,53,18,(88%),(9%),(3%),2,5,9,(13%),(31%),(56%),16,4,30.0,36.0,70.0,67.0
36,rodriguez,bantamweight,0,[36%],[100%],14.0,39.0,,1.0,"2.57
              ","2.57
          ","2.75
              ","2.75
          ","26
                  %",None,"0.00
              ","02:44
          ",8,57%,1,7%,5,36%,11,3,0,(79%),(21%),(0%),2,4,1,(29%),(57%),(14%),7,3,25.0,39.0,69.0,68.0,morales,,morales,bantamweight,0,[39%],,259.0,662.0,,,"4.22
              ","4.16
          ","0.00
              ","0.00
          ","53
                  %","56
                      %","0.49
              ","12:16
          ",166,64%,58,22%,35,14%,223,15,21,(86%),(6%),(8%),5,2,2,(56%),(22%),(22%),10,6,30.0,36.0,70.0,67.0
37,batgerel,bantamweight,0,,,,,,,None,None,None,None,None,None,None,"00:00
          ",0,0%,0,0%,0,0%,0,0,0,(0 %),(0 %),(0 %),5,2,2,(56%),(22%),(22%),9,2,31.0,36.0,70.0,67.0,natividad,Win,natividad,bantamweight,0,,,,,,,None,None,None,None,None,None,None,"00:00
          ",0,0%,0,0%,0,0%,0,0,0,(0 %),(0 %),(0 %),5,1,3,(56%),(11%),(33%),9,3,28.0,38.0,70.0,66.0
38,batgerel,bantamweight,0,,,,,,,None,None,None,None,None,None,None,"00:00
          ",0,0%,0,0%,0,0%,0,0,0,(0 %),(0 %),(0 %),5,2,2,(56%),(22%),(22%),9,2,31.0,36.0,70.0,67.0,cannetti,Win,cannetti,bantamweight,0,[52%],[50%],135.0,258.0,7.0,18.0,"2.80
              ","1.95
          ","2.80
              ","0.31
          ","51
                  %","75
                      %","0.00
              ","09:38
          ",63,47%,50,37%,22,16%,63,45,27,(47%),(33%),(20%),3,3,2,(38%),(38%),(25%),8,7,41.0,38.0,68.0,66.0
39,kelley,bantamweight,0,,,,,,,None,None,None,None,None,None,None,"00:00
          ",0,0%,0,0%,0,0%,0,0,0,(0 %),(0 %),(0 %),2,3,1,(33%),(50%),(17%),7,2,33.0,40.0,70.0,69.0,kamaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
